k1,b,macro_recall_at_1,macro_top_10_accuracy,micro_recall_at_1,micro_top_10_accuracy
0.7,0.3,0.6657142857142857,0.8064285714285714,0.6657142857142857,0.8064285714285714
0.7,0.5,0.6657142857142857,0.8071428571428572,0.6657142857142857,0.8071428571428572
0.7,0.75,0.6671428571428571,0.8057142857142858,0.6671428571428571,0.8057142857142857
0.7,0.9,0.6664285714285716,0.8042857142857143,0.6664285714285715,0.8042857142857143
1.0,0.3,0.6649999999999999,0.8085714285714286,0.665,0.8085714285714286
1.0,0.5,0.6614285714285714,0.8064285714285715,0.6614285714285715,0.8064285714285714
1.0,0.75,0.6564285714285715,0.8035714285714286,0.6564285714285715,0.8035714285714286
1.0,0.9,0.6514285714285715,0.802857142857143,0.6514285714285715,0.8028571428571428
1.3,0.3,0.6542857142857145,0.8057142857142858,0.6542857142857142,0.8057142857142857
1.3,0.5,0.6528571428571429,0.8035714285714286,0.6528571428571428,0.8035714285714286
1.3,0.75,0.6507142857142858,0.8014285714285715,0.6507142857142857,0.8014285714285714
1.3,0.9,0.6485714285714286,0.8014285714285715,0.6485714285714286,0.8014285714285714
1.6,0.3,0.6514285714285715,0.805,0.6514285714285715,0.805
1.6,0.5,0.6464285714285715,0.8021428571428572,0.6464285714285715,0.8021428571428572
1.6,0.75,0.6385714285714286,0.7985714285714287,0.6385714285714286,0.7985714285714286
1.6,0.9,0.6314285714285715,0.7942857142857144,0.6314285714285715,0.7942857142857143
